merchant_city,merchant_state,jumlah_transaksi,total_volume
Ontonagon,MI,11,486.98
Panacea,FL,11,148.89
Pendleton,SC,11,223.84
Pharr,TX,11,3471.94
"Pigeon Forge",TN,11,248.42
Agawam,MA,11,988.30
Alexandria,LA,11,248.55
Algonac,MI,11,619.35
Altus,OK,11,468.95
Amber,OK,11,170.25
Andrews,NC,11,194.37
Anthony,NM,11,181.37
Anthony,TX,11,241.00
Argyle,TX,11,1086.13
Ashland,VA,11,336.86
Atco,NJ,11,696.44
Auburn,MI,11,156.79
Auburndale,MA,11,309.59
Bealeton,VA,11,763.67
"Belle Glade",FL,11,449.82
Belmont,CA,11,470.93
Belmont,MI,11,441.99
"Berkeley Springs",WV,11,392.17
Birdsboro,PA,11,691.68
Bluffton,IN,11,413.85
Boonville,NC,11,1136.00
Boulevard,CA,11,526.15
"Bound Brook",NJ,11,919.63
Brazoria,TX,11,118.82
Bristol,RI,11,466.93
Brookpark,OH,11,217.67
Buchanan,MI,11,309.42
Burkesville,KY,11,222.24
California,KY,11,418.60
Camden,NC,11,959.30
"Camp Douglas",WI,11,985.16
"Camp Verde",AZ,11,379.72
Carbondale,IL,11,466.23
Carmi,IL,11,157.43
Carroll,IA,11,373.01
"Casa Grande",AZ,11,407.69
Cashiers,NC,11,577.38
Cathlamet,WA,11,622.34
Catskill,NY,11,815.80
Chalmette,LA,11,677.29
Chehalis,WA,11,226.63
Chesterfield,MA,11,1326.42
Chesterton,IN,11,945.87
Chewelah,WA,11,198.12
Christiansburg,VA,11,696.17
Clendenin,WV,11,201.70
Clinton,AR,11,201.16
Cloutierville,LA,11,239.68
Clyo,GA,11,346.14
Colfax,NC,11,273.55
Colfax,WA,11,339.36
"College Place",WA,11,8032.20
Columbia,NC,11,335.62
Cornelia,GA,11,463.13
Corryton,TN,11,2095.45
Coupeville,WA,11,366.53
Cowiche,WA,11,115.19
Dalton,MA,11,326.22
"Deer Park",WI,11,716.22
"Del Norte",CO,11,245.24
Dewey,OK,11,403.32
Dillon,CO,11,156.57
Dixon,IL,11,317.80
Dover,AR,11,427.57
"Eagle Lake",TX,11,8062.10
Earling,IA,11,231.71
"East Rochester",NY,11,225.20
Eden,NC,11,2125.83
"El Segundo",CA,11,454.75
Enfield,IL,11,436.06
Enfield,NC,11,419.49
Epsom,NH,11,403.96
"Essex Junction",VT,11,427.69
Falfurrias,TX,11,934.89
"Fall City",WA,11,893.96
Farmland,IN,11,267.88
"Fleming Island",FL,11,406.20
Florida,NY,11,197.17
"Fort Lee",NJ,11,797.59
Franklin,PA,11,323.08
"Front Royal",VA,11,726.13
Galliano,LA,11,236.81
Gassville,AR,11,409.01
Genoa,IL,11,909.27
Gerber,CA,11,111.49
Glassboro,NJ,11,9127.41
Glenmora,LA,11,638.57
Glenwood,MN,11,813.71
"Good Thunder",MN,11,603.44
Granville,IL,11,317.10
Gratis,OH,11,1024.53
"Green Valley",IL,11,258.37
Greenleaf,WI,11,342.40
"Greenwood Lake",NY,11,798.29
Alma,MI,10,105.53
Alton,NY,10,182.16
Amity,AR,10,59.78
Anderson,MO,10,416.36
Andover,NJ,10,614.72
Antigo,WI,10,211.45
"Apple Creek",OH,10,139.91
Arabi,GA,10,282.56
Arcadia,MO,10,281.56
Archbold,OH,10,342.86
Ashland,MS,10,106.89
Astor,FL,10,804.13
Bainbridge,OH,10,293.11
Bloomfield,KY,10,323.94
Blossom,TX,10,302.99
"Blue Ridge",GA,10,201.95
Bolivar,OH,10,177.92
"Bonne Terre",MO,10,128.33
Brantley,AL,10,684.71
Bremen,IN,10,101.17
Bridgewater,CT,10,2885.32
"Broadview Heights",OH,10,333.23
Bryantown,MD,10,702.64
Budapest,Hungary,10,970.33
"Buffalo Grove",IL,10,277.24
"Bulls Gap",TN,10,310.66
Calimesa,CA,10,966.49
Canonsburg,PA,10,4468.83
Carrollton,MO,10,6177.26
Castalia,NC,10,267.44
Centreville,MS,10,286.18
Chaptico,MD,10,744.22
Chase,MI,10,95.07
Chesapeake,OH,10,276.67
Chugiak,AK,10,132.65
Circleville,OH,10,320.51
Clarkfield,MN,10,56.73
Coeburn,VA,10,443.98
Colleyville,TX,10,188.49
Conneautville,PA,10,283.82
Cooperstown,ND,10,493.95
Courtland,VA,10,3263.43
"Crystal River",FL,10,252.35
Davenport,FL,10,317.40
Doylestown,PA,10,515.14
Dulles,VA,10,857.89
Dunn,NC,10,863.18
Duvall,WA,10,383.74
Easton,CT,10,397.63
Elizabethtown,PA,10,643.55
"Elk City",OK,10,409.54
Ellendale,ND,10,643.80
Equinunk,PA,10,165.15
Essex,MD,10,214.67
Eton,GA,10,191.93
Fairborn,OH,10,490.04
Fairfield,CT,10,303.09
Farmersville,CA,10,80.55
Farmington,NY,10,410.20
Farwell,MI,10,5913.69
Fleetville,PA,10,204.88
Florence,CO,10,130.83
"Foothill Ranch",CA,10,390.73
"Fort Howard",MD,10,72.08
"Fort Stockton",TX,10,339.59
Franklin,LA,10,317.01
Franklinton,LA,10,288.48
"Free Soil",MI,10,362.25
Gainesville,MO,10,289.48
Gary,IN,10,256.67
Glastonbury,CT,10,4175.66
Glenshaw,PA,10,137.52
"Granite City",IL,10,278.39
"Grant City",MO,10,378.93
Gratz,PA,10,424.68
Greenport,NY,10,200.16
Portland,PA,10,491.42
Potrero,CA,10,237.45
Pulaski,TN,10,102.21
Quinlan,TX,10,266.90
Ralston,OK,10,136.49
"Rapid City",MI,10,229.36
Richeyville,PA,10,228.13
Richmond,KS,10,427.08
"Ridge Spring",SC,10,203.05
Ringle,WI,10,847.79
"Rockaway Park",NY,10,641.83
"Rocky Point",NC,10,1065.94
"Rolling Fork",MS,10,570.79
Russellville,MO,10,399.85
"Saint Edward",NE,10,457.55
Salem,NM,10,472.04
Salyersville,KY,10,206.84
Scottdale,GA,10,192.53
Seaside,CA,10,478.45
Selkirk,NY,10,598.61
Shakopee,MN,10,1008.26
Shedd,OR,10,263.12
Shelby,OH,10,475.76
Sheridan,AR,10,573.36
"Shermans Dale",PA,10,324.90
Shiloh,OH,10,153.01
Shutesbury,MA,10,247.34
Slanesville,WV,10,615.00
Smithville,OH,10,69.39
"South Hutchinson",KS,10,139.95
Sparta,TN,10,122.85
Stafford,VA,10,888.99
Stewardson,IL,10,594.32
Stewart,TN,10,394.56
Stroudsburg,PA,10,411.11
"Sullivan City",TX,10,424.98
Summertown,TN,10,232.90
Sykesville,MD,10,806.42
Tahoka,TX,10,948.97
Tecumseh,OK,10,435.45
Tehachapi,CA,10,296.28
Terryville,CT,10,368.06
Theodore,AL,10,342.28
Theresa,NY,10,320.73
Thonotosassa,FL,10,535.51
Tieton,WA,10,118.60
Titus,AL,10,150.49
Toledo,OR,10,309.94
Toluca,IL,10,675.41
Tonopah,AZ,10,613.38
Trinity,NC,10,273.13
"Trinity Center",CA,10,374.70
Unionville,TN,10,484.61
"Upper Tract",WV,10,500.15
Valencia,CA,10,245.78
Vickery,OH,10,513.99
Walker,WV,10,278.29
Walkerton,IN,10,275.29
Washington,VT,10,250.86
"West Columbia",TX,10,194.12
"West Roxbury",MA,10,499.15
Westfield,PA,10,185.34
Weyauwega,WI,10,577.22
"White River Junction",VT,10,544.80
Whiteface,TX,10,396.88
"Wicomico Church",VA,10,602.66
Willmar,MN,10,1317.61
Winslow,IN,10,293.25
Wolcottville,IN,10,642.70
Xenia,OH,10,446.54
Yamhill,OR,10,429.69
Halstead,KS,10,215.84
Hampton,TN,10,425.33
Hatteras,NC,10,338.02
Hazelton,ID,10,413.85
Hazlet,NJ,10,439.39
Heltonville,IN,10,673.76
Henderson,NE,10,6786.34
"Highland Park",NJ,10,693.93
Hollis,NH,10,1261.02
"Honey Brook",PA,10,611.37
Hornell,NY,10,304.25
Howell,NJ,10,246.53
Humphrey,NE,10,818.21
"Hyde Park",NY,10,313.21
Isleta,NM,10,349.59
Jetersville,VA,10,759.34
Jewett,TX,10,192.66
Kennett,MO,10,321.20
Kerrville,TX,10,207.24
Klingerstown,PA,10,223.67
Kutztown,PA,10,369.24
"Laceys Spring",AL,10,132.58
"Lake Isabella",CA,10,450.12
"Lake Milton",OH,10,262.98
Landenberg,PA,10,686.56
Leedey,OK,10,245.30
Lehighton,PA,10,305.57
Lemont,PA,10,94.41
Lewis,IN,10,436.06
Litchfield,IL,10,466.84
"Loma Linda",CA,10,108.23
"Lost Nation",IA,10,151.92
Machias,ME,10,784.31
Macungie,PA,10,3445.20
Malvern,AR,10,262.32
Manchester,TN,10,129.98
Marshall,WI,10,193.81
Maysville,NC,10,248.81
"Mc Cormick",SC,10,292.17
Mcadoo,PA,10,375.00
Mecca,CA,10,428.62
Merrick,NY,10,136.31
Merrill,IA,10,153.12
Merrimack,NH,10,342.05
Milford,CT,10,369.52
Mooresville,IN,10,262.48
"Morehead City",NC,10,155.05
Morrow,GA,10,600.28
Moseley,VA,10,170.88
"Mount Gilead",NC,10,945.41
Musella,GA,10,319.43
Nappanee,IN,10,330.70
Nesquehoning,PA,10,600.07
"New Buffalo",PA,10,338.83
"New Port Richey",FL,10,715.17
Newberry,FL,10,3635.96
Newton,IA,10,164.65
"Ninety Six",SC,10,404.74
Novinger,MO,10,65.87
"Old Bethpage",NY,10,226.94
Onalaska,WI,10,276.78
Orem,UT,10,340.51
Oronogo,MO,10,48.06
Orrington,ME,10,570.55
Osawatomie,KS,10,870.14
Ozark,MO,10,182.33
Pageland,SC,10,450.77
Palmyra,PA,10,208.05
Pegram,TN,10,350.08
Peru,IL,10,288.34
Phillips,NE,10,370.70
Piedmont,MO,10,134.90
Pierre,SD,10,1226.74
Groveland,FL,9,808.18
"Hacienda Heights",CA,9,661.98
Halethorpe,MD,9,188.45
Halsey,OR,9,98.27
Hamburg,NJ,9,299.44
Hamilton,MT,9,8.76
"Hanna City",IL,9,177.09
Hardeeville,SC,9,136.22
Harleyville,SC,9,761.42
Hartsville,SC,9,399.25
Healdsburg,CA,9,358.58
Helena,MT,9,136.77
Hempstead,NY,9,362.98
Hicksville,NY,9,786.69
Highland,IL,9,128.23
Hillsboro,TX,9,595.45
Hinton,WV,9,595.01
Holmdel,NJ,9,238.35
Homeworth,OH,9,229.70
Hopewell,VA,9,417.19
Houlton,ME,9,72.36
"Howard City",MI,9,173.17
Hugo,MN,9,331.85
Humboldt,IA,9,212.67
"Hunlock Creek",PA,9,528.12
Huntington,TX,9,367.67
"Hyannis Port",MA,9,534.80
"Hyde Park",MA,9,627.65
Inwood,WV,9,580.19
"Jacksonville Beach",FL,9,596.95
Jamestown,ND,9,618.25
Jerome,MI,9,423.62
"Junction City",KY,9,306.37
Kadoka,SD,9,168.50
Kenesaw,NE,9,396.27
"La Habra",CA,9,409.73
Lacon,IL,9,126.92
"Lake Arrowhead",CA,9,228.88
"Lake City",IA,9,278.10
Lakeport,CA,9,2648.56
Lambertville,MI,9,225.24
"Lebanon Junction",KY,9,259.38
"Lemon Grove",CA,9,4508.20
Leonard,ND,9,122.03
Lewisburg,KY,9,177.28
Lewisville,IN,9,157.65
"Lexington Park",MD,9,425.63
Lincoln,DE,9,376.34
Linwood,NC,9,285.16
Lockhart,TX,9,452.93
"Lone Pine",CA,9,263.14
Lowell,VT,9,440.47
Madisonville,KY,9,634.56
"Mahanoy City",PA,9,436.89
Manorville,NY,9,203.44
Marshall,MI,9,259.45
Marshfield,WI,9,348.57
Mason,IL,9,353.46
Matawan,NJ,9,335.84
Maumelle,AR,9,526.85
Mechanicsville,MD,9,1115.58
Mechanicsville,VA,9,500.94
Middleburg,VA,9,454.01
Milton,IA,9,568.94
Mineola,NY,9,464.86
"Mineral Point",PA,9,173.23
Mitchell,SD,9,6051.16
Monticello,IN,9,484.14
Monticello,MS,9,167.02
Moorestown,NJ,9,1199.17
"Morgan City",LA,9,377.39
"Mount Crawford",VA,9,4418.70
Murrysville,PA,9,511.18
Natchitoches,LA,9,480.97
"New Albany",MS,9,1483.31
"New Boston",MI,9,444.95
"New Florence",MO,9,268.57
"New London",OH,9,464.10
"New Salem",ND,9,313.03
Newfane,VT,9,153.15
"Osage City",KS,9,782.66
Oxford,GA,9,700.00
Palmer,TN,9,372.51
"Palos Heights",IL,9,190.23
"Park Forest",IL,9,607.18
Paron,AR,9,528.04
Patton,PA,9,147.83
Peytona,WV,9,81.41
Pinch,WV,9,66.75
Altamont,NY,9,1405.78
Ansonville,NC,9,43.42
Anthony,FL,9,445.76
Apache,OK,9,72.35
"Apple Valley",CA,9,511.33
Arcola,IL,9,144.20
Arlington,NE,9,469.85
Ashland,PA,9,412.68
Aurora,IN,9,204.02
Bartlett,TX,9,485.80
"Bay City",MI,9,256.01
Beach,ND,9,452.59
"Beaver Falls",PA,9,463.72
Belcourt,ND,9,63.48
Belfast,ME,9,818.74
Berne,IN,9,450.77
Berryville,VA,9,665.40
Biddeford,ME,9,156.15
Blairsville,PA,9,296.95
"Blooming Grove",TX,9,144.49
"Bluff City",TN,9,741.88
Blythewood,SC,9,501.58
Bolivar,PA,9,466.98
"Bradenton Beach",FL,9,123.76
Bradenville,PA,9,847.03
Bridgetown,Barbados,9,596.74
Byrdstown,TN,9,510.69
Cameron,LA,9,327.11
"Cape Fair",MO,9,568.52
Carver,MN,9,18.65
"Central Bridge",NY,9,280.54
Cheltenham,MD,9,1051.31
Chesterfield,NJ,9,840.00
Chesterfield,SC,9,241.67
Chetek,WI,9,489.67
Chisholm,MN,9,281.54
Christiana,PA,9,326.94
Claremore,OK,9,256.47
Clinton,CT,9,1122.95
Clinton,IN,9,276.58
Colby,WI,9,780.00
Comstock,WI,9,367.45
Cool,CA,9,478.54
Cordova,AK,9,96.18
Corrales,NM,9,202.58
"Cross Plains",TN,9,430.96
Cunningham,KS,9,300.81
Dalmatia,PA,9,1052.63
Delavan,MN,9,7107.14
Denton,NC,9,312.88
Denville,NJ,9,196.54
Dunedin,FL,9,613.93
"East Concord",NY,9,260.50
"East Liberty",OH,9,517.33
Eastchester,NY,9,578.26
Eden,NY,9,337.72
"El Sobrante",CA,9,532.64
Elizabethport,NJ,9,399.18
Emporia,KS,9,513.00
Enderlin,ND,9,953.80
Evergreen,CO,9,457.78
"Fair Lawn",NJ,9,171.17
"Falling Waters",WV,9,5152.77
Falmouth,ME,9,569.97
Fannettsburg,PA,9,456.38
Fennimore,WI,9,585.40
Florence,KY,9,261.55
"Fort Bragg",CA,9,264.89
Fowlerville,MI,9,189.62
"Franklin Lakes",NJ,9,525.12
Freeland,WA,9,664.89
Friona,TX,9,465.11
Frostburg,MD,9,271.58
Fulton,KY,9,366.94
Galax,VA,9,668.46
Galloway,OH,9,168.99
Gardiner,ME,9,259.04
Garfield,AR,9,96.40
Geneseo,IL,9,495.05
Geneva,NY,9,642.29
Gladwyne,PA,9,611.53
"Glen Mills",PA,9,782.52
"Gold Beach",OR,9,490.13
Grayland,WA,9,52.01
"Pine Lake",GA,9,168.95
Pineville,LA,9,763.17
Plain,WI,9,184.17
Planada,CA,9,553.14
"Pocomoke City",MD,9,158.26
"Port Trevorton",PA,9,404.12
Powell,OH,9,592.47
Poynette,WI,9,76.38
"Prospect Hill",NC,9,431.24
Ravenswood,WV,9,362.15
Republic,WA,9,609.23
Richmond,ME,9,308.56
Riverbank,CA,9,115.69
Roberts,ID,9,88.77
Robesonia,PA,9,415.40
Robinson,IL,9,609.04
Rockton,PA,9,82.24
Rothschild,WI,9,109.58
Rusk,TX,9,1306.94
"Russell Springs",KY,9,196.54
"Ruther Glen",VA,9,158.05
Rutherfordton,NC,9,801.44
"Saint Charles",MN,9,161.45
"Saint Cloud",FL,9,475.69
"Saint Jo",TX,9,274.49
Salem,AL,9,377.07
Salvisa,KY,9,467.39
Schoolcraft,MI,9,493.55
Schulenburg,TX,9,580.17
Seffner,FL,9,362.97
Shelton,WA,9,885.61
Shortsville,NY,9,234.35
"Snow Camp",NC,9,587.34
Sonoma,CA,9,525.80
Soperton,GA,9,461.25
"Sound Beach",NY,9,164.22
"South Milwaukee",WI,9,384.72
"South Paris",ME,9,312.66
Spartansburg,PA,9,217.22
Spencer,IN,9,570.09
"Spring Grove",MN,9,3456.97
Steelville,MO,9,13.24
Stevensville,MT,9,86.97
Stoutsville,OH,9,170.38
"Studio City",CA,9,307.18
Sturgis,MS,9,199.05
Sturgis,SD,9,115.39
Sumiton,AL,9,34.24
"Sun City",AZ,9,394.20
Sunnyvale,TX,9,378.34
Superior,NE,9,228.73
"Swords Creek",VA,9,405.76
Taylors,SC,9,191.98
Turin,NY,9,285.18
"Ulan Bator",Mongolia,9,221.48
Unadilla,NY,9,209.77
Union,MS,9,84.95
"Union City",TN,9,186.81
Vilnius,Lithuania,9,290.82
Walford,IA,9,308.47
Walker,MN,9,169.33
Wanamingo,MN,9,329.67
Warwick,NY,9,686.29
Wautoma,WI,9,514.22
Wayne,NJ,9,2699.61
Wedgefield,SC,9,170.52
"Wellesley Hills",MA,9,71.78
Westley,CA,9,121.11
Weston,OH,9,7112.70
Westwood,CA,9,6860.44
Wixom,MI,9,371.38
York,SC,9,240.47
"York Haven",PA,9,46.99
"Yucca Valley",CA,9,624.96
Yulee,FL,9,75.09
Poolville,TX,8,522.46
"Port Reading",NJ,8,970.52
Porter,TX,8,916.36
Pottersville,NJ,8,1561.93
Powhatan,VA,8,367.63
Provincetown,MA,8,7397.04
Pullman,WA,8,282.00
Rabat,Morocco,8,140.42
Ravena,NY,8,618.39
Ravenden,AR,8,149.10
"Red Wing",MN,8,609.75
Reeseville,WI,8,31.32
Richwood,OH,8,206.09
Rochester,NH,8,195.02
"Rock Island",WA,8,122.34
Rockport,TX,8,111.79
Ross,CA,8,220.10
"Rutherford College",NC,8,166.88
Sadorus,IL,8,159.40
"Saint Elmo",AL,8,55.38
"Saint Francisville",IL,8,100.19
"Saint John",IN,8,394.89
"Saint Marys",WV,8,157.94
Salix,PA,8,320.16
Saluda,SC,8,353.58
Sandwich,MA,8,601.41
Sandy,OR,8,114.55
"Santa Paula",CA,8,501.45
"Schroon Lake",NY,8,369.00
Scottsburg,IN,8,265.86
Seminole,OK,8,105.20
Seneca,MO,8,286.43
"Shady Valley",TN,8,62.81
Shafer,MN,8,474.80
Shepherdstown,WV,8,434.07
Sidman,PA,8,95.30
"Smith Center",KS,8,168.30
Smithland,KY,8,429.78
"Sneads Ferry",NC,8,102.91
"South Fallsburg",NY,8,319.75
"South Solon",OH,8,126.87
"South Walpole",MA,8,469.93
Sparks,GA,8,243.99
"Spring City",TN,8,484.88
Stephens,AR,8,338.96
Sterling,MI,8,295.53
Stevens,PA,8,123.14
Stokesdale,NC,8,237.83
Stonington,CT,8,110.23
Strykersville,NY,8,517.94
Suffield,CT,8,361.77
Sullivan,IN,8,270.88
Summit,NJ,8,116.56
Suva,Fiji,8,146.70
Swannanoa,NC,8,397.34
Swansea,MA,8,207.57
"Tahoe City",CA,8,373.25
Taholah,WA,8,286.46
Tallinn,Estonia,8,105.61
Telferner,TX,8,224.39
Temple,ME,8,357.81
Thomas,OK,8,111.27
Tillson,NY,8,332.93
Toppenish,WA,8,354.92
Tualatin,OR,8,54.94
Tunas,MO,8,487.03
Turpin,OK,8,419.98
Twinsburg,OH,8,354.11
Tyrone,NM,8,207.13
Urbana,IA,8,126.17
"Valley Mills",TX,8,178.80
Vanderbilt,MI,8,3769.13
Vernonia,OR,8,267.46
"Vine Grove",KY,8,491.98
Vinton,LA,8,94.37
Wabash,IN,8,251.34
Wallace,CA,8,229.21
Wallkill,NY,8,177.53
Waterford,WI,8,124.60
Watervliet,NY,8,254.34
"Watkins Glen",NY,8,61.34
Waukomis,OK,8,800.00
Wellsboro,PA,8,349.72
Wellsville,KS,8,3293.76
"West Hills",CA,8,380.82
"West Sunbury",PA,8,162.79
"West Winfield",NY,8,34.49
Whippany,NJ,8,268.13
"White Bluff",TN,8,527.87
Williams,CA,8,125.93
Wimberley,TX,8,814.90
"Window Rock",AZ,8,398.99
"Woodland Park",CO,8,241.80
Woodville,TX,8,351.05
Yaphank,NY,8,322.41
Zumbrota,MN,8,259.63
Guadalupe,CA,8,603.93
"Hale Center",TX,8,190.34
Halls,TN,8,284.28
Hardy,VA,8,274.54
"Harpers Ferry",WV,8,134.00
Harvard,NE,8,77.93
Hays,NC,8,197.38
Hemingway,SC,8,349.72
Hermansville,MI,8,376.28
"High Shoals",GA,8,23.96
"Highland Park",IL,8,284.27
Hoopeston,IL,8,342.22
Hornbeak,TN,8,159.93
Hornbeck,LA,8,640.00
Huntsville,AR,8,24.13
Hurley,NM,8,181.05
Huson,MT,8,68.02
Imperial,MO,8,301.53
"Incline Village",NV,8,388.07
Ingalls,IN,8,1021.24
"Iron River",MI,8,121.98
Issue,MD,8,155.10
Jacksonville,AL,8,199.88
"James Creek",PA,8,135.74
Jefferson,TX,8,113.89
"Jersey Shore",PA,8,537.92
Johnstown,NY,8,26.53
Keiser,AR,8,191.96
Kenbridge,VA,8,341.40
Kentwood,LA,8,352.72
"Kill Devil Hills",NC,8,1130.89
Kremmling,CO,8,628.13
Kula,HI,8,245.27
Kuna,ID,8,520.41
Lacoochee,FL,8,162.76
Lafayette,CA,8,208.54
Lamar,CO,8,281.98
Lanham,MD,8,330.05
Larose,LA,8,498.18
Larue,TX,8,6599.99
Lawrence,MS,8,173.20
Leeds,AL,8,209.07
Leroy,MI,8,346.29
Levant,ME,8,118.80
Lewistown,OH,8,68.21
Lexington,AL,8,131.94
"Lincoln City",OR,8,300.45
"Little Compton",RI,8,499.90
"Log Lane Village",CO,8,232.17
Logansport,LA,8,153.21
Loogootee,IN,8,102.11
Ludowici,GA,8,356.31
"Lumber Bridge",NC,8,101.46
Luxembourg,Luxembourg,8,362.46
Lydia,LA,8,110.47
Lyles,TN,8,114.36
Lynchburg,VA,8,205.90
Madisonville,LA,8,260.41
Magdalena,NM,8,187.51
Mapleton,UT,8,685.97
"Mc Coll",SC,8,190.58
"Mc Donald",TN,8,81.99
"Mc Gill",NV,8,238.42
Memphis,NY,8,42.25
Mermentau,LA,8,219.28
Middleboro,MA,8,574.51
Middleport,OH,8,120.77
Milaca,MN,8,440.61
Milledgeville,IL,8,104.55
Millersville,PA,8,222.58
"Mohegan Lake",NY,8,429.48
Montezuma,IN,8,430.92
Monticello,FL,8,166.38
"Morro Bay",CA,8,180.16
Morton,MS,8,134.08
"Mount Angel",OR,8,11.90
"Mountain View",AR,8,50.88
Navasota,TX,8,315.25
Naylor,GA,8,142.41
Needville,TX,8,286.80
Neodesha,KS,8,237.05
"Neptune Beach",FL,8,258.06
Newberry,SC,8,319.81
Newtonville,MA,8,352.39
Nokesville,VA,8,558.07
"North Adams",MI,8,64.12
Northfield,CT,8,79.35
Norwich,CT,8,3648.57
"Oak Forest",IL,8,235.92
Okemos,MI,8,212.10
Olney,TX,8,415.75
Orland,CA,8,197.48
Palmer,AK,8,395.99
Parker,AZ,8,646.44
"Pass Christian",MS,8,595.75
Paulina,LA,8,219.85
"Penn Yan",NY,8,414.00
Pinckneyville,IL,8,169.22
Aberdeen,OH,8,143.37
Ackerly,TX,8,82.05
Ada,MI,8,185.56
Adams,TN,8,226.40
Adrian,PA,8,867.61
Albany,MO,8,62.89
Alexandria,TN,8,121.23
Alstead,NH,8,227.30
Altamont,KS,8,161.78
Alto,GA,8,642.18
Alto,NM,8,184.97
Alton,IA,8,109.99
Amherst,NH,8,228.71
Anderson,CA,8,428.51
"Andrews Air Force Base",MD,8,381.80
Ardmore,PA,8,231.11
Ashland,MA,8,164.68
Ava,MO,8,179.58
Avon,MA,8,275.23
"Ball Ground",GA,8,3868.92
Bandera,TX,8,496.61
Baskerville,VA,8,409.55
"Belle Mead",NJ,8,231.37
Bellerose,NY,8,318.83
Bells,TN,8,42.05
Bennington,NH,8,403.29
Bethel,MN,8,253.41
Beverly,NJ,8,365.43
Blanco,TX,8,388.32
Bloomingdale,MI,8,286.50
Bloxom,VA,8,265.34
"Bonners Ferry",ID,8,60.15
Bowler,WI,8,112.13
Brevard,NC,8,553.00
Bridgehampton,NY,8,919.27
Bridgeport,WV,8,268.33
Bridgeton,MO,8,431.68
Brule,WI,8,334.56
Buchanan,NY,8,11.78
Buffalo,KY,8,802.36
"Cape Charles",VA,8,229.21
"Cave City",KY,8,322.13
"Cave Creek",AZ,8,325.13
Centerton,AR,8,194.21
"Cherry Valley",AR,8,60.71
"Cherry Valley",MA,8,289.40
"Chester Springs",PA,8,320.71
Chestertown,NY,8,551.49
Chicopee,MA,8,89.44
Chilmark,MA,8,804.31
"Chippewa Lake",OH,8,678.76
Clark,NJ,8,66.97
Clarkesville,GA,8,194.37
Clarksville,AR,8,394.02
Claxton,GA,8,212.99
Clinton,KY,8,75.20
"Coeymans Hollow",NY,8,161.38
Coldspring,TX,8,360.84
"College Corner",OH,8,6126.60
Collinsville,AL,8,926.61
Coloma,MI,8,271.05
Colton,OR,8,167.82
Conesus,NY,8,272.08
Cordova,IL,8,100.83
"Corona Del Mar",CA,8,332.88
Covington,KY,8,365.71
Cowarts,AL,8,62.78
Craryville,NY,8,225.49
Crawford,GA,8,373.96
Creighton,NE,8,145.66
Crestline,CA,8,232.69
Crewe,VA,8,64.49
Cumberland,RI,8,321.62
"Cumberland Gap",TN,8,4849.47
Davison,MI,8,369.11
Dearing,GA,8,288.18
"Del Rio",TX,8,410.62
Dellroy,OH,8,823.60
Deltaville,VA,8,141.88
Deshler,OH,8,361.69
Dillon,MT,8,1226.68
Doyline,LA,8,939.33
"Dyess Afb",TX,8,548.30
"Eagle River",WI,8,324.97
"East Dublin",GA,8,3354.70
"East Palatka",FL,8,287.10
"Eaton Park",FL,8,62.92
"El Reno",OK,8,2267.53
Elizabethtown,KY,8,332.04
Ellerslie,MD,8,188.65
Ely,IA,8,289.09
Evans,LA,8,547.18
Fairbury,IL,8,183.95
Farmerville,LA,8,110.19
Farmington,CT,8,98.93
Finleyville,PA,8,58.13
"Flagler Beach",FL,8,38.09
Forman,ND,8,136.34
Forney,TX,8,545.65
"Fort Bliss",TX,8,554.76
"Fort Gay",WV,8,203.12
Fulton,MI,8,280.58
Fyffe,AL,8,165.91
"Gales Ferry",CT,8,138.89
Galien,MI,8,56.26
"Garden Plain",KS,8,985.86
Garrison,ND,8,462.14
Gillespie,IL,8,87.23
Girard,OH,8,132.45
Gladwin,MI,8,304.56
Glencoe,MO,8,480.13
Glendale,OR,8,211.72
Glenwood,IL,8,167.16
"Grand Terrace",CA,8,422.56
Granville,OH,8,88.38
Grawn,MI,8,680.93
"Grove City",OH,8,174.59
Abbott,TX,7,205.50
Abilene,KS,7,3887.05
Adamsville,AL,7,1020.39
Afton,VA,7,62.26
Albion,IN,7,37.53
Albrightsville,PA,7,344.90
Alma,WI,7,189.42
Amagansett,NY,7,435.09
"Amelia Court House",VA,7,270.40
"American Canyon",CA,7,255.40
Angwin,CA,7,202.51
"Apache Junction",AZ,7,269.28
Arbuckle,CA,7,361.23
Arlington,WI,7,248.03
Ashland,WI,7,184.29
Ashley,IN,7,245.48
Aulander,NC,7,65.63
"Avon Park",FL,7,199.76
Avondale,CO,7,253.60
Bahama,NC,7,170.29
Baldwin,GA,7,556.15
Baldwin,MI,7,168.36
Barnesville,MN,7,63.41
Bartlett,IL,7,183.40
Barton,NY,7,588.06
Basye,VA,7,484.19
Bauxite,AR,7,584.42
"Bay Shore",NY,7,5343.74
Bayville,NJ,7,65.84
"Beach Haven",NJ,7,916.44
"Belle Vernon",PA,7,854.46
Belmont,VT,7,31.01
"Big Rapids",MI,7,442.06
Birchrunville,PA,7,126.62
Boone,IA,7,263.36
Boston,GA,7,108.84
Bowman,SC,7,62.55
Boyers,PA,7,233.42
Breckenridge,TX,7,196.88
Brewster,WA,7,269.47
Brigantine,NJ,7,69.44
Brinkley,AR,7,656.89
Buckingham,PA,7,188.87
Bucyrus,KS,7,348.03
